full_picture,id,message
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41727153_122243742067804_4420372322339258368_o.jpg?_nc_cat=0&oh=7c20043a605583d9852abac19f4f11e8&oe=5C20D448,122301762062002_122243928734452,
,122301762062002_122241872067991,I hate how geese chase me everywhere I go.. Why can't Waterloo engineer them outta here???
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41922873_122239752068203_589814050439823360_o.jpg?_nc_cat=0&oh=932112665541cb9f95766fb5fcfcddd9&oe=5C32AAF4,122301762062002_122239855401526,Just got a text from my mom complaining about how many conflicts she gets in with my brother... Ughhh... Can't wait to move out.
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41850876_122238652068313_8445917771560124416_o.jpg?_nc_cat=0&oh=6189b8473dbacda84e2067b6ed94c934&oe=5C2D2436,122301762062002_122238692068309,"Woah! Was that a rat, hamster or dog I saw in the washroom?!?!??!"
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41784473_122237235401788_4908831419540701184_o.jpg?_nc_cat=0&oh=0fce4c21cb0cfd0f8f69e001a60eaca9&oe=5C18FECE,122301762062002_122237288735116,I just got some free merch from Loblaws!
,122301762062002_122236742068504,I get really mad at people very easily. They don't understand why I'm upset. Sometimes I don't either.
,122301762062002_122236088735236,I feel completely hopeless and useless to my team because I don't know C++
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41723698_122234168735428_7332066106976239616_o.jpg?_nc_cat=0&oh=5e12e35af11877734853ff96b2782a2b&oe=5C26D956,122301762062002_122234468735398,I'm totally screwed!!! Feeling hopeless at the moment...
https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/41779154_122233448735500_318976805778227200_o.jpg?_nc_cat=0&oh=43bed5f655c97f296ef82c1ab172b862&oe=5C388B89,122301762062002_122233565402155,I accidentally deleted my whole repository!
,122301762062002_122232105402301,It's only been 5 hours and I'm so stressed!
https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/41913629_122231405402371_1317829492651065344_o.jpg?_nc_cat=0&oh=0608905c16b93a35b65aca1ec052c73d&oe=5C233AB4,122301762062002_122231428735702,
,122301762062002_122035762088602,The world is a cruel place.
,122301762062002_122035062088672,My hack isn't turning out as good as I thought it would... such a disappointment.
,122301762062002_122034725422039,Just arrived at Hack The North!
