picture,id,message
https://scontent.xx.fbcdn.net/v/t1.0-0/q86/s130x130/41882169_122243738734471_7370761829577916416_n.jpg?_nc_cat=0&oh=edc730bbfd87f16e81be793db3193fc8&oe=5C35FCCB,122301762062002_122243928734452,
,122301762062002_122241872067991,I hate how geese chase me everywhere I go.. Why can't Waterloo engineer them outta here???
https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/41684609_122239755401536_7573984782783086592_n.jpg?_nc_cat=0&oh=3e07e1a1594668adc72ee62eefcf7da2&oe=5C2D45EA,122301762062002_122239855401526,Just got a text from my mom complaining about how many conflicts she gets in with my brother... Ughhh... Can't wait to move out.
https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/41867099_122238655401646_8938528663322755072_n.jpg?_nc_cat=0&oh=364e87a063485821de20702f36bd8451&oe=5C27372C,122301762062002_122238692068309,"Woah! Was that a rat, hamster or dog I saw in the washroom?!?!??!"
https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/41795513_122237232068455_6021748486356074496_n.jpg?_nc_cat=0&oh=1fe11e6c30bda167f889b0ff279eeb4c&oe=5C35468B,122301762062002_122237288735116,I just got some free merch from Loblaws!
,122301762062002_122236742068504,I get really mad at people very easily. They don't understand why I'm upset. Sometimes I don't either.
,122301762062002_122236088735236,I feel completely hopeless and useless to my team because I don't know C++
https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/41838112_122234165402095_7626341563697725440_n.jpg?_nc_cat=0&oh=a8565db804880c246182de628ae8022a&oe=5C1726B0,122301762062002_122234468735398,I'm totally screwed!!! Feeling hopeless at the moment...
https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/41790453_122233445402167_6990723787285069824_n.jpg?_nc_cat=0&oh=e46394b4f7518ef860a9981ee14ed6f7&oe=5C2F62CD,122301762062002_122233565402155,I accidentally deleted my whole repository!
,122301762062002_122232105402301,It's only been 5 hours and I'm so stressed!
https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/41803777_122231402069038_1374030595713138688_n.jpg?_nc_cat=0&oh=532d0f770630d8af5a3c308e236168a3&oe=5C222669,122301762062002_122231428735702,
,122301762062002_122035762088602,The world is a cruel place.
,122301762062002_122035062088672,My hack isn't turning out as good as I thought it would... such a disappointment.
,122301762062002_122034725422039,Just arrived at Hack The North!
